service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BU,1,1,1,1,1,0,0,20240909,20251231
BexpU,1,1,1,1,1,0,0,20240909,20251231
CU,1,1,1,1,1,0,0,20240909,20251231
DU,1,1,1,1,1,0,0,20240909,20251231
FU,1,1,1,1,1,0,0,20240909,20251231
EU,1,1,1,1,1,0,0,20240909,20251231
AU,1,1,1,1,1,0,0,20240909,20251231
BS,0,0,0,0,0,1,0,20240909,20251231
CS,0,0,0,0,0,1,0,20240909,20251231
DS,0,0,0,0,0,1,0,20240909,20251231
FS,0,0,0,0,0,1,0,20240909,20251231
ES,0,0,0,0,0,1,0,20240909,20251231
AS,0,0,0,0,0,1,0,20240909,20251231
BDF,0,0,0,0,0,0,1,20240909,20251231
CDF,0,0,0,0,0,0,1,20240909,20251231
DDF,0,0,0,0,0,0,1,20240909,20251231
FDF,0,0,0,0,0,0,1,20240909,20251231
EDF,0,0,0,0,0,0,1,20240909,20251231
ADF,0,0,0,0,0,0,1,20240909,20251231
