service_id,date,exception_type
ADF,20241005,1
ADFT,20241005,1
AS,20241005,2
AU,20241005,2
BDF,20241005,1
BexDF,20241005,1
BS,20241005,2
BU,20241005,2
CDF,20241005,1
CS,20241005,2
CU,20241005,2
DDF,20241005,1
DS,20241005,2
DU,20241005,2
EDF,20241005,1
ES,20241005,2
EU,20241005,2
FDF,20241005,1
FS,20241005,2
FU,20241005,2
ADF,20241101,1
ADFT,20241101,1
AS,20241101,2
AU,20241101,2
BDF,20241101,1
BexDF,20241101,1
BS,20241101,2
BU,20241101,2
CDF,20241101,1
CS,20241101,2
CU,20241101,2
DDF,20241101,1
DS,20241101,2
DU,20241101,2
EDF,20241101,1
ES,20241101,2
EU,20241101,2
FDF,20241101,1
FS,20241101,2
FU,20241101,2
ADF,20241201,1
ADFT,20241201,1
AS,20241201,2
AU,20241201,2
BDF,20241201,1
BexDF,20241201,1
BS,20241201,2
BU,20241201,2
CDF,20241201,1
CS,20241201,2
CU,20241201,2
DDF,20241201,1
DS,20241201,2
DU,20241201,2
EDF,20241201,1
ES,20241201,2
EU,20241201,2
FDF,20241201,1
FS,20241201,2
FU,20241201,2
ADF,20241208,1
ADFT,20241208,1
AS,20241208,2
AU,20241208,2
BDF,20241208,1
BexDF,20241208,1
BS,20241208,2
BU,20241208,2
CDF,20241208,1
CS,20241208,2
CU,20241208,2
DDF,20241208,1
DS,20241208,2
DU,20241208,2
EDF,20241208,1
ES,20241208,2
EU,20241208,2
FDF,20241208,1
FS,20241208,2
FU,20241208,2
ADF,20241225,1
ADFT,20241225,1
AS,20241225,2
AU,20241225,2
BDF,20241225,1
BexDF,20241225,1
BS,20241225,2
BU,20241225,2
CDF,20241225,1
CS,20241225,2
CU,20241225,2
DDF,20241225,1
DS,20241225,2
DU,20241225,2
EDF,20241225,1
ES,20241225,2
EU,20241225,2
FDF,20241225,1
FS,20241225,2
FU,20241225,2
ADF,20250101,1
ADFT,20250101,1
AS,20250101,2
AU,20250101,2
BDF,20250101,1
BexDF,20250101,1
BS,20250101,2
BU,20250101,2
CDF,20250101,1
CS,20250101,2
CU,20250101,2
DDF,20250101,1
DS,20250101,2
DU,20250101,2
EDF,20250101,1
ES,20250101,2
EU,20250101,2
FDF,20250101,1
FS,20250101,2
FU,20250101,2
ADF,20250425,1
ADFT,20250425,1
AS,20250425,2
AU,20250425,2
BDF,20250425,1
BexDF,20250425,1
BS,20250425,2
BU,20250425,2
CDF,20250425,1
CS,20250425,2
CU,20250425,2
DDF,20250425,1
DS,20250425,2
DU,20250425,2
EDF,20250425,1
ES,20250425,2
EU,20250425,2
FDF,20250425,1
FS,20250425,2
FU,20250425,2
ADF,20250501,1
ADFT,20250501,1
AS,20250501,2
AU,20250501,2
BDF,20250501,1
BexDF,20250501,1
BS,20250501,2
BU,20250501,2
CDF,20250501,1
CS,20250501,2
CU,20250501,2
DDF,20250501,1
DS,20250501,2
DU,20250501,2
EDF,20250501,1
ES,20250501,2
EU,20250501,2
FDF,20250501,1
FS,20250501,2
FU,20250501,2
ADF,20250610,1
ADFT,20250610,1
AS,20250610,2
AU,20250610,2
BDF,20250610,1
BexDF,20250610,1
BS,20250610,2
BU,20250610,2
CDF,20250610,1
CS,20250610,2
CU,20250610,2
DDF,20250610,1
DS,20250610,2
DU,20250610,2
EDF,20250610,1
ES,20250610,2
EU,20250610,2
FDF,20250610,1
FS,20250610,2
FU,20250610,2
ADF,20240815,1
ADFT,20240815,1
AS,20240815,2
AU,20240815,2
BDF,20240815,1
BexDF,20240815,1
BS,20240815,2
BU,20240815,2
CDF,20240815,1
CS,20240815,2
CU,20240815,2
DDF,20240815,1
DS,20240815,2
DU,20240815,2
EDF,20240815,1
ES,20240815,2
EU,20240815,2
FDF,20240815,1
FS,20240815,2
FU,20240815,2
CDFF,20240815,1
ADF,20250624,1
ADFT,20250624,1
AS,20250624,2
AU,20250624,2
BDF,20250624,1
BexDF,20250624,1
BS,20250624,2
BU,20250624,2
CDF,20250624,1
CS,20250624,2
CU,20250624,2
DDF,20250624,1
DS,20250624,2
DU,20250624,2
EDF,20250624,1
ES,20250624,2
EU,20250624,2
FDF,20250624,1
FS,20250624,2
FU,20250624,2
CDFF,20250624,1
